python3 srcs/run_cli.py
> List of all isomorphic sets : 
   id  mult_bound      nb_molecules
  895  False                      2
  896  False                      2
  897  False                      2
  898  False                      2
  899  False                      3
  900  False                      2
  901  False                      2
  902  False                      2
  903  False                      5
  904  False                      2
  905  False                      4
  906  False                      2
  907  False                      2
  908  False                      1
  909  False                      2
  910  False                      8
  911  False                      8
  912  False                      2
  913  False                      2
  914  False                      3
  915  False                      6
  916  False                      1
  917  False                      5
  918  False                      2
  919  False                      9
  920  False                      2
  921  False                      1
  922  False                     18
  923  False                      2
  924  False                      6
  925  False                      4
  926  False                      4
  927  False                      1
  928  False                      2
  929  False                      2
  930  False                      2
  931  False                      2
  932  False                      3
  933  False                      2
  934  False                      1
  935  False                      1
  936  False                      9
  937  False                      3
  938  False                      3
  939  False                      1
  940  False                      1
  941  False                      4
  942  False                      2
  943  False                     11
  944  False                     18
  945  False                      6
  946  False                      1
  947  False                      4
  948  False                      1
  949  False                      5
  950  False                      2
  951  False                      2
  952  False                      4
  953  False                      8
  954  False                      2
  955  False                      2
  956  False                      2
  957  False                      2
  958  False                      4
  959  False                      1
  960  False                      2
  961  False                      2
  962  False                      5
  963  False                      2
  964  False                      2
  965  False                      2
  966  False                      1
  967  False                      4
  968  False                      1
  969  False                      4
  970  False                      2
  971  False                      5
  972  False                      2
  973  False                      2
  974  False                      2
  975  False                      1
  976  False                      2
  977  False                     17
  978  False                     13
  979  False                      3
  980  False                      2
  981  False                      1
  982  False                      4
  983  False                      1
  984  False                      1
  985  False                      5
  986  False                      8
  987  False                      1
  988  False                      1
  989  False                      2
  990  False                      2
  991  False                      2
  992  False                      1
  993  False                      6
  994  False                      1
  995  False                      2
  996  False                      1
  997  False                      4
  998  False                      1
  999  False                      6
 1000  False                      7
 1001  False                      1
 1002  False                      1
 1003  False                      1
 1004  False                      5
 1005  False                     17
 1006  False                      1
 1007  False                      4
 1008  False                      2
 1009  False                      1
 1010  False                      1
 1011  False                      6
 1012  False                      5
 1013  False                      3
 1014  False                      1
 1015  False                      1
 1016  False                      2
 1017  False                      2
 1018  False                      4
 1019  False                      1
 1020  False                     11
 1021  False                      3
 1022  False                      2
 1023  False                      3
 1024  False                     19
 1025  False                      7
 1026  False                      3
 1027  False                      5
 1028  False                      2
 1029  False                      4
 1030  False                      1
 1031  False                      1
 1032  False                      4
 1033  False                      5
 1034  False                      2
 1035  False                      1
 1036  False                      1
 1037  False                      1
 1038  False                      1
 1039  False                      2
 1040  False                      6
 1041  False                      2
 1042  False                      1
 1043  False                      2
 1044  False                      2
 1045  False                      1
 1046  False                      4
 1047  False                      2
 1048  False                      1
 1049  False                      3
 1050  False                      1
 1051  False                      2
 1052  False                      2
 1053  False                      4
 1054  False                      6
 1055  False                      2
 1056  False                      7
 1057  False                      2
 1058  False                      1
 1059  False                      1
 1060  False                     27
 1061  False                      2
 1062  False                      3
 1063  False                      1
 1064  False                      1
 1065  False                      1
 1066  False                      2
 1067  False                      2
 1068  False                      2
 1069  False                     12
 1070  False                      1
 1071  False                      8
 1072  False                      2
 1073  False                      2
 1074  False                      2
 1075  False                      4
 1076  False                      4
 1077  False                      1
 1078  False                      2
 1079  False                      2
 1080  False                      2
 1081  False                      2
 1082  False                      1
 1083  False                      3
 1084  False                      4
 1085  False                      1
 1086  False                      4
 1087  False                      3
 1088  False                      3
 1089  False                      5
 1090  False                      1
 1091  False                      1
 1092  False                      4
 1093  False                      2
 1094  False                      4
 1095  False                      1
 1096  False                      5
 1097  False                      4
 1098  False                      1
 1099  False                      1
 1100  False                      5
 1101  False                      1
 1102  False                      3
 1103  False                      3
 1104  False                      2
 1105  False                      2
 1106  False                      1
 1107  False                      3
 1108  False                      2
 1109  False                      2
 1110  False                      1
 1111  False                      2
 1112  False                     15
 1113  False                      2
 1114  False                      2
 1115  False                      1
 1116  False                      2
 1117  False                      3
 1118  False                      1
 1119  False                      4
 1120  False                      1
 1121  False                      2
 1122  False                      4
 1123  False                      2
 1124  False                      4
 1125  False                      8
 1126  False                      1
 1127  False                      1
 1128  False                      3
 1129  False                      3
 1130  False                      1
 1131  False                      1
 1132  False                      3
 1133  False                      2
 1134  False                      1
 1135  False                      2
 1136  False                      3
 1137  False                      1
 1138  False                      4
 1139  False                      6
 1140  False                      3
 1141  False                      6
 1142  False                      2
 1143  False                      2
 1144  False                      2
 1145  False                      2
 1146  False                      1
 1147  False                      1
 1148  False                     17
 1149  False                      1
 1150  False                      1
 1151  False                      2
 1152  False                      2
 1153  False                      3
 1154  False                      1
 1155  False                      2
 1156  False                      2
 1157  False                      4
 1158  False                      1
 1159  False                      1
 1160  False                      1
 1161  False                      6
 1162  False                      2
 1163  False                      6
 1164  False                      5
 1165  False                     14
 1166  False                      7
 1167  False                      3
 1168  False                      3
 1169  False                      2
 1170  False                      1
 1171  False                      1
 1172  False                      1
 1173  False                      2
 1174  False                      2
 1175  False                      4
 1176  False                      4
 1177  False                      2
 1178  False                      4
 1179  False                      5
 1180  False                      2
 1181  False                      1
 1182  False                      2
 1183  False                      1
 1184  False                      2
 1185  False                      2
 1186  False                     42
 1187  False                      4
 1188  False                      6
 1189  False                      1
 1190  False                      2
 1191  False                      1
 1192  False                      2
 1193  False                      2
 1194  False                      3
 1195  False                      2
 1196  False                      2
 1197  False                      1
 1198  False                      1
 1199  False                      2
 1200  False                      2
 1201  False                      3
 1202  False                      1
 1203  False                      6
 1204  False                     10
 1205  False                      2
 1206  False                      7
 1207  False                      1
 1208  False                      3
 1209  False                      2
 1210  False                      2
 1211  False                      2
 1212  False                      1
 1213  False                      1
 1214  False                      1
 1215  False                     17
 1216  False                      2
 1217  False                      4
 1218  False                      3
 1219  False                      2
 1220  False                      1
 1221  False                      1
 1222  False                      2
 1223  False                      3
 1224  False                      4
 1225  False                      2
 1226  False                      1
 1227  False                      1
 1228  False                      1
 1229  False                      2
 1230  False                     14
 1231  False                      1
 1232  False                      3
 1233  False                      2
 1234  False                      9
 1235  False                      4
 1236  False                      4
 1237  False                      2
 1238  False                      6
 1239  False                      2
 1240  False                      2
 1241  False                      1
 1242  False                      3
 1243  False                      6
 1244  False                      2
 1245  False                      3
 1246  False                      4
 1247  False                     10
 1248  False                      2
